For Mayor CITY OF JERSEY CITY ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JOYCE E. WATTERMAN,,,,,,MUSSAB ALI,,,,,,KALKI JAYNE-ROSE,,,,,,JIM McGREEVEY,,,,,,BILL O'DEA,,,,,,JAMES SOLOMON,,,,,,CHRISTINA L. FREEMAN,,,,,,Write-In Vote,,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Total
Jersey City Ward A District 1,717,9,2,1,1,0,13,37,4,3,1,0,45,1,0,0,0,0,1,76,12,20,2,0,110,70,26,18,1,0,115,62,6,13,1,0,82,1,0,0,0,0,1,1,0,0,0,0,1,368
Jersey City Ward A District 2,1473,16,5,8,0,0,29,71,18,7,0,1,97,3,1,0,0,0,4,136,46,42,2,0,226,129,40,30,2,0,201,93,26,22,1,0,142,5,0,0,0,0,5,1,0,0,0,0,1,705
Jersey City Ward A District 3,840,6,6,1,1,0,14,40,20,9,3,0,72,1,1,0,0,0,2,37,33,19,3,0,92,71,40,12,4,0,127,23,12,4,0,0,39,2,0,0,0,0,2,0,0,0,0,0,0,348
Jersey City Ward A District 4,912,9,4,0,0,0,13,43,21,3,0,0,67,0,0,0,0,0,0,32,51,6,1,0,90,55,28,14,1,0,98,24,13,4,0,0,41,8,3,1,0,0,12,1,0,0,0,0,1,322
Jersey City Ward A District 5,892,10,6,1,1,0,18,32,15,7,2,0,56,0,0,0,0,0,0,37,45,11,2,0,95,44,34,30,1,0,109,26,32,7,0,0,65,4,1,0,0,0,5,1,0,0,0,0,1,349
Jersey City Ward A District 6,854,9,3,1,0,0,13,39,14,4,1,0,58,1,0,0,0,0,1,53,45,14,0,1,113,59,39,15,1,0,114,19,21,2,4,0,46,2,2,1,0,0,5,0,0,0,0,0,0,350
Jersey City Ward A District 7,865,12,3,3,0,0,18,43,18,2,1,0,64,0,0,0,0,0,0,52,38,14,2,0,106,63,36,14,3,0,116,30,15,12,3,1,61,2,1,0,1,0,4,1,1,0,0,0,2,371
Jersey City Ward A District 8,986,6,3,2,0,0,11,38,13,2,0,0,53,0,0,0,0,0,0,57,37,28,3,0,125,49,47,20,1,1,118,27,26,8,2,0,63,5,0,0,1,0,6,0,0,0,0,0,0,376
Jersey City Ward A District 9,678,5,4,1,0,0,10,28,11,7,3,0,49,0,0,0,0,0,0,27,18,15,4,0,64,38,15,10,0,0,63,16,3,5,0,0,24,2,4,3,0,0,9,0,0,0,0,0,0,219
Jersey City Ward A District 10,852,11,4,1,0,0,16,38,6,7,1,0,52,0,0,0,0,0,0,48,8,13,0,0,69,65,21,11,4,0,101,19,5,3,1,0,28,3,1,0,0,0,4,0,0,0,0,0,0,270
